Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
0,0,8,1,2,647,3,2,3,3,2,3,5,2,2,4,3,3,2,2,0,0.0
0,1,18,0,1,143,2,3,2,4,1,2,1,1,4,4,5,1,5,1,0,5.0
0,0,49,0,0,3235,4,4,4,4,5,4,4,3,3,4,3,4,3,3,0,0.0
1,0,51,0,0,1644,2,2,2,2,4,5,5,5,5,5,5,4,5,5,9,0.0
0,0,62,1,1,1428,4,3,4,2,1,4,3,2,2,4,2,1,2,2,0,0.0
0,0,59,0,0,1568,3,4,2,2,5,3,4,3,3,3,3,4,3,2,0,2.0
1,0,51,0,0,2131,4,4,4,4,5,5,3,5,5,5,5,3,5,3,0,0.0
1,0,17,1,0,160,1,5,1,4,1,1,2,1,3,4,4,3,4,1,0,0.0
1,0,32,0,0,3607,1,1,1,1,5,5,5,5,4,2,5,1,5,5,0,0.0
0,0,68,0,1,900,5,1,1,1,2,4,2,5,5,5,5,5,5,4,0,0.0
0,1,20,0,1,859,3,4,4,3,4,4,4,4,3,1,3,2,3,4,3,24.0
1,0,31,0,1,361,1,5,5,5,1,1,1,1,2,5,3,4,4,1,0,0.0
1,0,37,0,1,258,2,1,1,1,2,2,2,2,1,5,2,5,4,2,0,0.0
1,1,22,0,1,480,3,0,3,2,3,3,3,3,1,3,4,1,5,3,17,4.0
1,0,60,0,1,563,3,4,4,4,3,3,3,3,4,3,4,4,3,3,15,5.0
0,0,64,1,2,213,2,0,2,1,5,5,5,5,5,2,5,5,5,5,0,6.0
0,1,54,0,1,1209,2,2,2,3,4,2,4,4,4,4,3,3,3,4,0,2.0
1,0,24,1,1,1947,5,5,5,1,1,5,1,1,5,4,4,3,5,1,9,2.0
1,0,20,1,1,992,3,4,3,3,3,3,3,3,4,5,4,4,4,3,0,7.0
0,0,51,0,0,2486,4,4,5,4,4,4,5,4,4,4,4,4,4,5,0,0.0
1,0,12,1,1,978,4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0.0
1,0,46,1,2,391,2,3,1,2,4,1,4,4,4,5,2,3,3,4,0,0.0
0,0,26,0,0,1142,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0.0
1,0,13,1,1,1452,2,4,2,3,5,2,5,5,2,5,5,5,2,5,2,0.0
1,0,58,1,1,361,1,4,1,4,2,1,2,2,3,3,5,5,4,2,0,3.0
1,1,26,0,0,386,1,0,1,4,3,1,3,3,3,2,5,4,5,3,1,10.0
1,0,27,1,1,429,4,5,4,3,3,4,1,3,5,3,4,4,4,3,0,0.0
1,0,59,0,0,184,4,4,4,4,5,5,5,3,3,4,4,3,3,4,0,0.0
0,0,19,0,0,2158,4,1,3,1,4,4,4,4,4,3,4,4,3,4,35,27.0
1,0,40,0,0,3764,1,1,1,1,4,5,4,4,4,5,4,4,4,3,16,3.0
0,0,40,0,1,819,4,2,3,3,4,4,4,4,1,2,3,1,3,4,23,6.0
1,0,35,0,1,326,4,2,2,2,4,4,4,4,2,5,5,5,3,4,0,0.0
1,1,15,0,0,1039,0,0,0,3,5,0,5,5,4,5,4,4,4,5,4,0.0
1,1,34,0,1,936,1,1,1,2,1,1,1,1,1,4,4,5,1,1,0,0.0
0,0,10,0,1,632,3,4,4,4,3,3,2,3,3,2,4,4,4,3,44,40.0
0,0,55,1,1,349,2,3,2,3,2,3,5,2,2,2,2,5,2,3,0,0.0
0,0,40,1,1,1325,4,4,4,3,1,4,1,1,4,2,4,5,5,1,0,9.0
0,0,52,0,0,3895,4,4,4,4,4,4,4,4,4,4,4,4,4,3,24,5.0
1,0,65,1,0,226,1,4,1,1,5,5,4,4,4,1,4,5,4,3,37,20.0
1,0,11,1,1,301,2,2,2,4,1,2,1,1,1,3,3,4,3,1,2,0.0
1,0,54,0,1,515,3,2,2,2,3,3,3,3,4,3,3,2,3,3,44,33.0
1,0,26,1,1,472,3,5,3,4,3,3,3,3,4,1,3,5,3,3,18,18.0
1,0,27,0,0,3657,3,3,4,3,5,5,5,5,4,3,4,4,5,5,31,33.0
0,1,26,0,0,251,1,5,1,4,5,1,3,5,3,2,4,5,5,5,5,4.0
0,1,27,0,0,1521,1,2,2,2,4,2,4,4,4,2,5,4,5,4,1,0.0
1,0,38,0,0,2930,2,5,5,5,2,4,4,2,2,2,2,4,2,3,7,23.0
1,0,40,0,0,1723,3,3,3,3,5,4,4,5,5,5,5,3,5,3,2,0.0
0,0,39,0,0,2442,5,4,5,5,2,4,4,4,4,4,4,4,4,4,80,86.0
0,0,15,1,1,89,3,5,3,4,5,3,1,5,5,5,4,3,5,5,0,0.0
1,0,40,0,0,689,3,3,3,3,4,4,4,5,5,5,5,5,5,4,11,0.0
1,0,49,0,0,258,4,4,2,4,4,5,4,4,4,4,4,4,4,4,0,0.0
1,0,39,0,0,550,2,2,2,2,3,4,4,5,5,5,5,4,5,4,0,0.0
0,0,19,1,1,405,2,2,2,4,1,2,1,1,3,2,4,4,3,1,0,0.0
0,1,38,0,0,1189,1,1,1,3,3,1,3,3,5,5,5,3,5,3,3,0.0
0,0,64,1,1,453,2,5,2,5,5,4,4,2,2,2,2,4,2,4,0,3.0
0,0,56,1,1,1670,2,3,2,3,3,3,4,4,4,2,4,1,4,2,1,0.0
0,0,39,0,0,2088,2,2,2,2,5,5,5,4,4,4,4,5,4,5,10,0.0
0,1,40,0,0,156,1,1,1,5,4,1,2,4,2,4,5,5,2,4,0,0.0
0,0,67,1,1,143,3,1,3,4,2,3,3,2,2,3,2,3,2,2,64,109.0
1,0,70,1,1,1892,1,4,1,3,1,1,1,1,4,4,4,4,3,1,0,0.0
0,0,46,0,0,967,3,3,3,3,5,5,4,4,4,4,4,4,4,3,3,16.0
0,0,18,1,1,134,2,2,2,3,3,2,4,3,2,4,3,4,3,3,0,0.0
1,0,52,0,2,678,2,2,2,2,2,2,2,2,1,1,3,1,3,2,0,20.0
1,1,25,0,1,2585,3,3,3,4,3,3,3,3,2,5,4,3,4,3,0,0.0
0,0,50,0,0,2583,4,4,4,4,5,4,4,5,2,3,4,4,3,4,6,0.0
1,1,23,0,1,862,3,4,4,3,4,4,4,4,1,5,3,3,3,4,1,33.0
1,0,28,0,0,2597,1,1,1,1,5,5,5,5,4,5,4,3,5,5,6,1.0
1,0,52,0,0,3245,4,4,4,4,2,3,3,5,5,5,5,4,5,3,93,77.0
0,0,31,0,0,937,4,4,4,4,5,5,5,5,1,5,4,2,4,5,29,31.0
1,0,38,1,2,834,4,4,3,3,4,3,4,4,5,1,3,2,1,4,92,100.0
1,0,41,1,1,1171,0,4,0,1,2,0,2,2,4,2,3,5,4,2,24,27.0
0,0,45,0,1,175,3,1,1,1,1,1,5,3,3,3,3,3,3,1,0,0.0
0,0,34,1,1,280,2,5,2,3,3,2,3,3,4,2,5,5,4,3,0,0.0
1,0,40,0,1,550,2,1,1,1,2,2,2,2,3,1,4,4,3,2,4,6.0
1,0,16,1,1,1020,4,4,4,3,2,4,2,2,3,3,3,4,4,2,0,0.0
1,1,31,0,0,1075,4,4,4,3,1,4,1,1,2,3,3,5,2,1,3,4.0
1,0,51,0,0,920,2,2,2,2,3,5,4,4,4,4,4,4,4,3,0,1.0
0,0,47,1,1,1023,2,3,3,3,5,3,3,4,4,3,1,3,4,4,0,0.0
1,0,44,0,0,222,1,2,3,2,3,2,2,5,5,4,1,1,5,3,0,9.0
1,0,40,0,0,2874,2,2,2,2,5,1,5,4,4,4,4,3,4,2,0,11.0
0,0,39,0,0,1487,3,3,3,3,4,4,5,4,4,4,4,4,4,3,7,0.0
1,1,39,0,0,140,4,4,4,3,4,4,2,4,3,4,4,4,4,4,0,7.0
1,0,16,1,1,306,2,4,2,1,5,2,5,5,3,2,5,5,4,5,76,73.0
1,0,61,0,0,2458,3,4,4,4,4,2,3,3,3,3,3,4,3,1,5,1.0
1,0,66,0,0,3829,3,5,5,5,3,3,3,3,3,3,3,1,3,3,42,41.0
1,0,34,0,1,160,4,3,3,3,4,4,4,4,1,3,4,3,2,4,0,7.0
1,0,23,0,0,1448,1,1,1,1,3,4,3,3,3,2,5,4,5,3,0,0.0
0,0,60,0,0,1508,3,1,1,1,2,2,2,3,3,3,3,2,3,2,15,15.0
0,0,56,0,0,1682,5,5,5,5,4,4,5,5,5,5,5,5,5,4,0,3.0
0,0,25,0,0,2582,4,4,4,4,4,4,4,4,4,3,1,1,2,4,0,0.0
0,0,44,0,2,160,5,1,1,1,5,4,5,5,5,5,5,5,5,3,0,0.0
0,0,42,0,0,199,1,1,1,1,5,4,5,5,5,5,4,5,5,5,0,0.0
0,0,54,0,0,3598,2,2,4,2,4,4,5,4,4,4,4,4,4,3,0,0.0
0,0,43,0,2,223,2,1,1,1,4,1,1,2,2,2,2,3,2,1,28,20.0
0,0,59,1,1,145,1,3,1,4,5,4,3,5,5,1,5,1,5,2,0,0.0
0,0,42,0,0,1971,4,4,4,4,4,4,5,5,5,5,4,3,5,5,0,5.0
1,1,26,0,0,285,1,2,1,2,3,1,3,3,4,2,3,1,2,3,0,3.0
1,0,8,1,1,552,4,3,4,1,3,4,3,3,3,2,2,3,5,3,0,11.0
1,0,30,1,1,163,3,5,3,5,5,3,5,5,2,1,2,5,2,5,0,2.0
0,0,50,0,0,3710,4,4,4,4,3,4,3,4,4,4,4,1,4,4,0,0.0
0,0,80,0,1,1064,4,3,4,4,4,5,2,4,4,4,4,4,4,5,0,0.0
0,0,19,1,1,868,5,2,5,3,5,1,1,3,4,3,4,1,2,1,165,146.0
1,1,13,0,1,486,2,1,2,3,4,2,1,4,2,1,4,1,3,4,1,0.0
1,0,55,0,0,502,1,1,1,1,5,5,4,5,5,5,5,4,5,4,0,6.0
1,0,47,0,0,393,3,3,3,3,4,4,4,4,4,4,4,4,4,3,0,0.0
0,0,50,0,1,1986,2,3,3,3,3,2,4,2,2,2,2,3,2,4,7,16.0
0,0,58,0,0,3529,5,5,4,5,4,5,4,4,4,4,4,4,4,5,9,2.0
0,0,49,1,2,332,3,5,3,2,5,4,5,4,4,3,4,3,4,4,0,0.0
1,0,44,0,0,3165,2,2,2,2,4,5,5,4,4,4,4,5,4,3,0,0.0
0,0,26,1,2,1009,3,4,3,5,5,3,5,5,5,1,1,3,5,5,0,9.0
0,0,13,1,0,337,2,3,2,3,1,2,1,1,4,5,2,5,5,1,0,18.0
0,0,44,0,0,337,0,0,0,2,3,4,4,5,5,5,5,4,5,3,0,0.0
1,1,25,0,1,569,3,2,3,2,3,3,3,3,4,1,3,4,3,3,0,0.0
1,0,24,0,0,1893,2,2,2,2,5,5,5,5,5,1,4,3,4,5,0,0.0
1,0,42,1,1,304,2,3,2,3,2,2,2,2,3,5,3,4,3,2,8,7.0
0,0,46,0,2,448,2,3,3,3,2,5,4,1,1,2,1,5,1,5,0,0.0
0,1,29,0,2,868,2,2,2,4,3,2,3,3,3,4,3,2,3,3,0,0.0
1,0,55,0,1,663,2,4,5,5,2,2,2,2,2,3,3,4,3,2,19,7.0
0,1,25,0,1,604,3,5,3,3,1,3,1,1,1,5,5,5,2,1,0,0.0
0,0,26,1,1,679,2,5,2,1,3,2,3,3,3,5,5,5,5,3,82,70.0
0,0,50,0,0,2335,5,5,5,5,4,5,5,4,4,5,4,5,4,3,0,0.0
0,0,38,0,0,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0.0
1,0,67,1,1,157,4,1,4,3,5,4,5,5,4,5,3,4,3,5,45,33.0
0,0,17,1,1,473,4,5,4,3,4,4,4,4,3,5,5,4,3,4,0,0.0
1,0,19,0,0,2388,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0.0
1,0,46,1,1,687,4,4,4,4,2,4,2,2,3,3,5,5,5,2,22,12.0
0,0,40,0,0,468,3,3,3,3,5,4,5,4,4,4,4,5,4,5,0,3.0
0,0,15,1,0,417,4,5,4,4,1,4,1,1,4,3,3,2,4,1,8,7.0
0,0,34,1,1,265,4,3,4,3,5,4,5,5,2,5,2,1,4,5,0,23.0
1,0,37,1,1,606,4,4,4,4,3,4,3,3,1,3,4,1,4,3,0,0.0
0,0,29,1,2,802,2,3,2,4,2,2,2,2,3,2,4,4,3,2,0,0.0
1,0,35,0,1,1044,2,1,1,1,2,2,2,2,4,2,4,4,4,2,4,13.0
0,0,64,1,1,277,2,2,2,2,5,3,3,1,1,2,1,3,1,1,8,1.0
1,0,42,0,2,685,4,2,2,2,4,4,4,4,1,4,1,2,5,4,0,0.0
1,0,43,0,0,1506,3,2,3,3,5,5,5,4,2,5,4,5,5,5,173,175.0
0,1,80,0,0,206,1,0,0,4,2,3,4,1,1,1,1,3,1,2,8,9.0
1,0,57,0,0,700,3,3,3,3,3,2,2,3,3,3,3,3,3,3,0,0.0
1,0,50,0,0,189,0,5,0,1,5,5,4,3,3,3,3,4,3,5,56,61.0
0,0,16,1,1,447,3,5,3,2,3,3,3,3,4,2,5,4,4,3,19,15.0
1,1,39,0,0,895,2,2,2,4,5,2,5,5,5,4,4,5,5,5,0,2.0
1,0,62,1,1,192,2,2,2,4,1,2,1,1,2,2,3,3,3,1,0,0.0
1,0,54,0,1,366,3,4,4,4,3,3,3,3,1,2,4,3,4,3,0,0.0
1,0,11,1,1,605,1,4,1,2,2,1,2,2,4,2,5,5,5,2,24,22.0
1,1,39,0,0,309,2,2,2,1,1,2,1,1,3,3,4,5,5,1,0,0.0
1,0,51,0,0,406,5,5,5,5,5,4,5,4,4,4,4,4,4,4,9,4.0
0,0,33,0,0,3972,5,5,5,5,5,3,2,5,5,5,4,5,5,3,0,5.0
1,0,26,1,2,2556,3,2,3,3,3,4,4,4,1,2,4,4,4,4,0,33.0
0,0,59,1,1,868,4,4,4,2,4,5,5,1,1,4,1,2,1,3,7,0.0
1,0,45,0,0,2139,3,3,3,3,3,3,4,5,5,5,5,3,5,3,0,0.0
0,0,37,1,1,888,3,2,4,3,3,4,3,3,4,4,3,3,3,3,0,0.0
1,0,40,0,0,507,3,5,3,3,4,4,4,4,4,4,4,4,4,3,26,16.0
1,0,46,0,1,152,3,4,4,4,3,3,3,3,2,5,3,2,2,3,3,0.0
1,1,26,0,1,113,3,1,3,2,3,3,3,3,3,4,2,4,2,3,0,22.0
1,0,42,0,0,3665,5,5,5,5,5,5,4,4,4,4,4,4,4,3,83,92.0
0,0,48,1,1,337,4,4,4,4,2,5,5,5,5,4,5,5,5,4,4,0.0
1,0,25,1,1,550,2,2,2,3,1,2,1,1,4,2,4,4,5,1,56,63.0
0,0,59,0,1,1706,2,3,3,3,3,4,4,2,2,2,2,1,2,4,0,0.0
1,0,11,1,1,1105,4,3,3,3,2,3,2,2,2,3,4,3,4,2,13,18.0
0,0,30,0,0,2438,0,1,1,1,2,2,2,2,5,3,5,3,4,2,38,28.0
0,0,55,1,1,1608,2,2,2,4,2,3,4,5,5,2,5,3,5,2,0,0.0
1,0,52,1,1,853,2,5,2,3,5,2,5,5,5,2,5,3,4,5,86,85.0
1,0,69,0,0,173,1,3,3,3,1,2,2,3,3,3,1,4,3,1,0,0.0
0,0,28,0,0,2298,4,2,2,2,4,4,4,4,1,1,3,2,4,4,7,18.0
0,0,21,1,1,368,3,3,3,3,3,3,3,3,2,4,1,2,3,3,16,10.0
0,1,27,0,0,1028,3,3,3,3,3,1,4,1,2,3,4,4,1,4,170,164.0
0,0,55,0,0,3634,0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0.0
1,0,25,0,1,1541,0,5,0,2,2,5,2,2,5,1,1,3,2,2,28,22.0
0,1,44,0,0,1744,4,4,4,2,4,4,4,4,5,2,4,3,5,4,0,0.0
0,1,25,0,0,978,5,5,5,1,4,5,4,4,4,5,5,4,4,4,0,0.0
0,0,33,0,2,874,2,1,1,1,2,2,2,2,2,1,3,3,4,2,0,9.0
0,0,44,0,0,1788,3,3,3,3,3,3,4,5,5,5,5,5,5,5,0,0.0
0,0,55,0,0,1440,2,2,2,2,5,4,5,5,5,5,5,5,5,3,0,0.0
0,0,53,0,0,1744,3,3,3,3,4,3,5,2,2,2,2,4,2,4,0,4.0
1,0,41,1,1,967,3,4,3,3,4,3,4,4,4,2,3,1,3,4,12,8.0
1,1,25,0,0,678,3,4,3,3,1,3,1,1,3,4,5,4,5,1,2,0.0
1,0,62,1,1,950,0,0,0,4,5,0,5,5,1,3,2,2,4,5,0,0.0
0,0,62,1,1,632,4,4,4,2,2,4,5,2,2,4,2,3,2,4,0,0.0
0,0,20,1,1,1384,1,3,1,2,2,1,2,2,5,2,1,1,1,2,0,0.0
1,0,8,1,2,1201,2,5,2,3,3,2,3,3,4,2,1,5,5,3,24,14.0
1,0,25,0,0,1709,5,5,5,5,3,4,3,3,5,3,2,3,5,3,0,0.0
0,0,15,1,0,1189,1,5,2,1,3,2,2,3,4,5,5,5,4,3,7,0.0
0,1,20,0,1,1394,2,1,1,4,2,4,4,3,5,2,4,4,2,4,0,3.0
1,0,19,0,0,528,4,5,5,5,4,4,4,4,3,4,4,2,3,4,0,0.0
0,0,62,1,1,834,2,5,2,4,3,5,4,3,3,2,3,4,3,5,0,0.0
0,1,25,0,1,116,2,1,2,3,2,4,4,1,3,4,3,4,2,4,140,133.0
0,0,43,0,0,3936,3,3,3,3,5,5,4,4,4,4,4,3,4,4,16,17.0
0,1,34,0,1,833,2,2,2,4,2,2,2,2,3,1,3,2,3,2,46,41.0
0,0,60,1,2,214,2,5,2,1,4,5,4,3,3,2,3,3,3,4,0,0.0
0,0,26,1,1,908,3,4,3,4,2,3,2,2,2,3,5,1,1,2,0,0.0
0,0,49,0,0,3465,1,1,1,1,1,4,3,1,1,1,1,3,1,4,0,0.0
1,0,29,0,0,1597,4,4,4,4,3,4,3,3,5,2,5,5,4,3,39,27.0
0,1,27,0,1,1076,1,1,1,2,2,1,2,2,3,3,3,3,3,2,44,44.0
1,0,49,0,0,569,2,2,2,2,2,5,4,4,4,4,4,3,4,4,0,0.0
1,0,26,0,0,2836,5,5,5,5,5,5,5,5,3,4,4,3,5,5,0,0.0
1,0,39,1,1,236,1,3,1,4,4,1,4,4,4,4,4,3,5,4,1,0.0
0,0,27,1,1,399,3,4,3,3,1,3,1,1,3,4,5,4,5,1,0,80.0
1,0,54,0,0,1953,1,1,1,1,4,4,4,4,2,5,4,4,5,4,235,222.0
0,0,35,1,1,954,4,0,4,3,2,4,2,2,5,3,4,2,1,2,23,32.0
1,0,69,0,0,3714,4,1,1,1,1,2,2,4,4,4,4,3,4,1,0,0.0
1,0,63,0,2,236,5,2,2,2,5,5,5,5,2,1,4,5,1,5,0,0.0
0,0,42,0,1,718,5,1,4,1,3,3,3,5,5,5,5,3,5,1,0,0.0
1,0,53,0,0,3825,3,3,3,3,5,4,4,3,3,4,3,3,3,3,0,0.0
1,0,9,1,1,936,5,5,4,2,4,4,4,4,5,4,5,5,5,4,22,22.0
0,0,34,0,0,1979,1,1,1,1,5,5,4,3,3,3,3,4,3,3,72,47.0
0,0,65,1,1,578,2,4,3,4,2,4,4,3,3,3,3,4,3,3,99,101.0
0,1,42,0,1,1874,3,3,3,3,3,3,3,3,5,3,3,2,3,3,0,5.0
1,0,49,0,0,1188,2,2,2,2,4,5,5,4,4,4,4,3,4,5,8,23.0
0,1,29,0,1,964,4,4,4,3,1,4,1,1,2,3,2,3,4,1,0,0.0
0,0,49,1,1,577,2,5,2,2,3,4,5,1,1,2,1,4,1,3,23,2.0
0,1,29,0,0,867,4,4,4,4,2,4,2,2,3,5,3,3,4,2,0,0.0
1,0,40,1,1,273,2,5,2,2,2,2,2,2,3,1,4,3,4,2,0,5.0
0,1,38,0,0,308,3,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26.0
0,0,40,0,0,304,0,0,0,3,3,5,5,1,1,1,1,4,1,4,0,0.0
0,0,53,0,0,1963,3,3,3,3,4,4,5,5,5,5,5,5,5,4,1,0.0
1,0,35,0,0,3153,3,3,3,3,1,5,5,5,5,4,5,3,5,4,81,73.0
1,0,45,0,0,280,2,2,2,2,3,2,5,5,5,4,5,1,5,3,38,59.0
1,0,55,0,0,936,3,3,3,3,5,5,5,3,3,3,3,5,3,5,0,0.0
1,0,50,1,1,1635,1,5,1,3,4,1,4,4,3,5,5,3,4,4,0,4.0
1,0,43,0,0,3221,1,1,1,1,3,5,5,4,4,4,4,5,4,5,0,39.0
1,0,44,0,0,299,3,3,3,3,3,5,5,4,4,4,4,3,4,5,7,4.0
0,0,44,0,0,1671,4,4,4,4,4,3,4,4,4,4,4,4,4,5,25,18.0
0,0,9,1,1,687,2,5,2,3,5,2,5,5,4,5,4,4,5,5,0,0.0
1,0,63,1,1,471,3,4,3,1,3,3,5,3,5,4,4,5,4,3,126,123.0
1,0,53,1,1,1012,3,2,3,4,4,3,4,4,4,4,4,3,3,4,38,15.609914872308464
0,0,46,0,0,2611,4,4,4,4,4,4,4,4,4,5,5,4,4,4,0,0.0
0,1,24,0,1,372,4,4,4,3,3,4,5,3,5,4,4,4,4,3,21,23.0
0,0,51,0,1,337,1,5,5,5,2,4,3,1,1,1,1,2,1,2,90,87.0
0,1,40,0,0,325,1,1,1,1,3,1,3,3,2,2,1,4,1,3,11,5.0
0,0,46,0,0,2502,2,2,2,2,3,1,3,4,4,4,4,3,4,5,5,0.0
0,0,31,1,1,2279,1,5,1,2,3,1,3,3,5,3,5,3,5,3,0,0.0
0,1,25,0,1,817,4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0.0
0,0,49,0,1,612,5,1,1,1,3,2,1,5,5,5,5,3,5,2,0,7.0
0,1,12,0,1,1269,3,3,3,4,4,3,4,4,4,4,4,1,4,4,18,19.0
0,0,51,0,0,1488,2,3,3,3,4,3,4,2,2,2,2,4,2,2,73,62.0
1,0,23,1,1,1460,2,4,2,4,1,2,1,1,4,2,4,4,4,1,0,17.0
0,0,23,0,0,3306,4,4,4,4,5,5,5,5,4,1,5,3,2,5,0,0.0
1,0,47,0,0,406,2,2,2,2,3,5,5,4,4,4,4,5,4,4,44,50.0
0,0,41,0,0,1624,2,2,2,2,4,5,5,5,5,5,5,3,5,5,0,0.0
1,0,25,0,0,3465,2,4,4,4,2,2,2,2,4,5,3,4,3,2,0,0.0
1,0,47,1,1,1276,2,4,2,3,2,2,2,2,3,3,4,3,5,2,9,23.0
1,0,39,1,1,294,1,5,1,3,1,1,1,1,3,2,5,4,5,1,0,0.0
1,1,37,0,0,1562,3,3,3,3,4,3,5,4,3,4,5,3,5,4,0,0.0
0,0,15,1,1,2153,1,4,1,1,3,1,1,3,5,2,4,4,5,3,38,2.0
1,0,51,0,0,2248,1,1,1,1,3,4,5,5,5,5,5,5,5,5,1,8.0
1,0,30,0,0,2974,4,4,4,4,4,4,4,4,3,3,4,3,5,4,74,67.0
0,0,10,1,2,338,1,5,3,3,5,3,4,5,4,2,4,5,4,5,0,0.0
1,0,34,1,1,200,3,1,3,3,2,3,2,2,2,2,2,1,3,2,0,0.0
0,1,37,0,0,372,5,5,5,4,4,5,4,4,4,4,5,3,4,4,11,0.0
1,0,23,1,1,130,1,4,1,3,5,1,3,5,2,4,3,4,3,5,0,9.0
0,1,23,0,1,419,3,4,3,5,1,3,1,1,5,3,4,3,5,1,0,6.0
1,0,27,0,0,2837,2,2,3,2,5,4,5,5,2,1,1,1,5,5,0,0.0
0,0,26,1,1,2475,4,1,3,3,1,3,1,1,2,5,3,2,4,1,16,15.0
0,0,21,0,0,1062,3,3,3,3,4,5,4,4,3,2,4,4,4,4,17,32.0
1,0,55,0,0,234,3,3,3,3,4,4,5,4,4,4,4,4,4,3,0,5.0
0,0,51,1,1,297,3,4,3,1,3,4,5,3,3,3,3,3,3,3,0,0.0
0,0,40,0,0,2248,2,2,2,2,3,4,4,2,2,2,2,4,2,2,0,0.0
1,1,25,0,1,370,3,0,3,2,3,3,3,3,5,5,1,1,3,3,0,0.0
1,0,7,1,1,515,4,4,2,4,1,2,1,1,5,2,4,3,5,1,10,0.0
1,0,21,0,2,762,3,1,1,1,3,4,4,3,2,4,5,2,2,3,0,0.0
1,1,28,0,1,1220,4,4,4,3,3,4,3,3,4,5,3,3,2,3,20,9.0
1,0,58,0,0,1721,3,3,3,3,3,4,5,4,4,4,4,4,4,5,18,0.0
0,0,68,1,1,1288,2,5,2,3,4,3,5,4,4,2,4,4,4,5,6,24.0
1,0,55,0,1,459,3,4,4,4,3,3,3,3,4,1,2,4,2,3,50,69.0
1,0,58,0,1,828,4,2,2,2,4,4,4,4,1,5,3,4,3,4,101,124.0
